Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
1	R	3	3	SYBR	1	62243	71.5
1	R	3	3	SYBR	1	62281	71.5
1	R	3	3	SYBR	1	62230	71.7
1	R	3	3	SYBR	1	62173	71.7
1	R	3	3	SYBR	1	62083	71.9
1	R	3	3	SYBR	1	62103	72
1	R	3	3	SYBR	1	62076	72.2
1	R	3	3	SYBR	1	62077	72.2
1	R	3	3	SYBR	1	61998	72.5
1	R	3	3	SYBR	1	61983	72.5
1	R	3	3	SYBR	1	61976	72.7
1	R	3	3	SYBR	1	61833	72.7
1	R	3	3	SYBR	1	61885	72.9
1	R	3	3	SYBR	1	61932	73
1	R	3	3	SYBR	1	61863	73.2
1	R	3	3	SYBR	1	61856	73.2
1	R	3	3	SYBR	1	61743	73.4
1	R	3	3	SYBR	1	61810	73.5
1	R	3	3	SYBR	1	61717	73.7
1	R	3	3	SYBR	1	61694	73.7
1	R	3	3	SYBR	1	61685	73.9
1	R	3	3	SYBR	1	61725	74
1	R	3	3	SYBR	1	61649	74
1	R	3	3	SYBR	1	61587	74.2
1	R	3	3	SYBR	1	61520	74.4
1	R	3	3	SYBR	1	61519	74.5
1	R	3	3	SYBR	1	61454	74.5
1	R	3	3	SYBR	1	61495	74.7
1	R	3	3	SYBR	1	61506	74.9
1	R	3	3	SYBR	1	61351	75
1	R	3	3	SYBR	1	61455	75
1	R	3	3	SYBR	1	61359	75.2
1	R	3	3	SYBR	1	61360	75.2
1	R	3	3	SYBR	1	61249	75.5
1	R	3	3	SYBR	1	61279	75.5
1	R	3	3	SYBR	1	61287	75.7
1	R	3	3	SYBR	1	61236	75.7
1	R	3	3	SYBR	1	61251	75.9
1	R	3	3	SYBR	1	61177	76
1	R	3	3	SYBR	1	61150	76.2
1	R	3	3	SYBR	1	61017	76.2
1	R	3	3	SYBR	1	61035	76.4
1	R	3	3	SYBR	1	61024	76.5
1	R	3	3	SYBR	1	60967	76.7
1	R	3	3	SYBR	1	61051	76.7
1	R	3	3	SYBR	1	60910	76.9
1	R	3	3	SYBR	1	60923	77
1	R	3	3	SYBR	1	60926	77
1	R	3	3	SYBR	1	60875	77.2
1	R	3	3	SYBR	1	60817	77.4
1	R	3	3	SYBR	1	60758	77.5
1	R	3	3	SYBR	1	60773	77.5
1	R	3	3	SYBR	1	60815	77.7
1	R	3	3	SYBR	1	60685	77.9
1	R	3	3	SYBR	1	60715	78
1	R	3	3	SYBR	1	60707	78
1	R	3	3	SYBR	1	60656	78.2
1	R	3	3	SYBR	1	60625	78.4
1	R	3	3	SYBR	1	60565	78.5
1	R	3	3	SYBR	1	60502	78.5
1	R	3	3	SYBR	1	60494	78.7
1	R	3	3	SYBR	1	60450	78.7
1	R	3	3	SYBR	1	60414	78.9
1	R	3	3	SYBR	1	60435	79
1	R	3	3	SYBR	1	60385	79
1	R	3	3	SYBR	1	60380	79.2
1	R	3	3	SYBR	1	60313	79.4
1	R	3	3	SYBR	1	60240	79.5
1	R	3	3	SYBR	1	60299	79.7
1	R	3	3	SYBR	1	60276	79.7
1	R	3	3	SYBR	1	60252	79.9
1	R	3	3	SYBR	1	60234	80
1	R	3	3	SYBR	1	60183	80.2
1	R	3	3	SYBR	1	60154	80.2
1	R	3	3	SYBR	1	60047	80.4
1	R	3	3	SYBR	1	60092	80.5
1	R	3	3	SYBR	1	60045	80.5
1	R	3	3	SYBR	1	60039	80.7
1	R	3	3	SYBR	1	59917	80.9
1	R	3	3	SYBR	1	59918	81
1	R	3	3	SYBR	1	59879	81
1	R	3	3	SYBR	1	59664	81.2
1	R	3	3	SYBR	1	59812	81.4
1	R	3	3	SYBR	1	59678	81.5
1	R	3	3	SYBR	1	59608	81.5
1	R	3	3	SYBR	1	59553	81.7
1	R	3	3	SYBR	1	59615	81.7
1	R	3	3	SYBR	1	59405	82
1	R	3	3	SYBR	1	59479	82
1	R	3	3	SYBR	1	59392	82.2
1	R	3	3	SYBR	1	59222	82.2
1	R	3	3	SYBR	1	59367	82.4
1	R	3	3	SYBR	1	59227	82.5
1	R	3	3	SYBR	1	59023	82.7
1	R	3	3	SYBR	1	59038	82.7
1	R	3	3	SYBR	1	59022	82.9
1	R	3	3	SYBR	1	58955	83
1	R	3	3	SYBR	1	58939	83.2
1	R	3	3	SYBR	1	58901	83.2
1	R	3	3	SYBR	1	58662	83.4
1	R	3	3	SYBR	1	58605	83.5
1	R	3	3	SYBR	1	58575	83.5
1	R	3	3	SYBR	1	58588	83.7
1	R	3	3	SYBR	1	58551	83.9
1	R	3	3	SYBR	1	58382	84
1	R	3	3	SYBR	1	58176	84
1	R	3	3	SYBR	1	58259	84.2
1	R	3	3	SYBR	1	58233	84.4
1	R	3	3	SYBR	1	58268	84.5
1	R	3	3	SYBR	1	58188	84.5
1	R	3	3	SYBR	1	58132	84.7
1	R	3	3	SYBR	1	57949	84.7
1	R	3	3	SYBR	1	57889	85
1	R	3	3	SYBR	1	57777	85
1	R	3	3	SYBR	1	57604	85.2
1	R	3	3	SYBR	1	57483	85.2
1	R	3	3	SYBR	1	57207	85.4
1	R	3	3	SYBR	1	56883	85.5
1	R	3	3	SYBR	1	56669	85.7
1	R	3	3	SYBR	1	56248	85.7
1	R	3	3	SYBR	1	55664	85.9
1	R	3	3	SYBR	1	54995	86
1	R	3	3	SYBR	1	54184	86.2
1	R	3	3	SYBR	1	53204	86.2
1	R	3	3	SYBR	1	51272	86.4
1	R	3	3	SYBR	1	49160	86.5
1	R	3	3	SYBR	1	46773	86.7
1	R	3	3	SYBR	1	44000	86.7
1	R	3	3	SYBR	1	41370	86.9
1	R	3	3	SYBR	1	38910	87
1	R	3	3	SYBR	1	36893	87
1	R	3	3	SYBR	1	35911	87.2
1	R	3	3	SYBR	1	34626	87.2
1	R	3	3	SYBR	1	34442	87.4
1	R	3	3	SYBR	1	33585	87.5
1	R	3	3	SYBR	1	33228	87.7
1	R	3	3	SYBR	1	32941	87.7
1	R	3	3	SYBR	1	32609	87.9
1	R	3	3	SYBR	1	32107	88
1	R	3	3	SYBR	1	31970	88.2
